iter	Logloss
0	0.6878949165
1	0.6839409425
2	0.6800525019
3	0.6770833021
4	0.6734559213
5	0.6706091173
6	0.6679043363
7	0.6648260494
8	0.662665118
9	0.6614083206
10	0.6594322551
11	0.6581870685
12	0.6561721474
13	0.6548837757
14	0.6537192014
15	0.6518917361
16	0.6504884992
17	0.6494680954
18	0.6489613504
19	0.6477444745
20	0.6473758698
21	0.6470721008
22	0.6467154613
23	0.646030718
24	0.6452758522
25	0.6442265973
26	0.6431275687
27	0.6428280485
28	0.6422412884
29	0.6419270629
30	0.6414170628
31	0.6411833876
32	0.6407147014
33	0.6403114155
34	0.6399217916
35	0.6393154405
36	0.6391509566
37	0.6390220161
38	0.6385669118
39	0.6376343334
40	0.6375042874
41	0.6370644014
42	0.6367518776
43	0.6364078741
44	0.6357262814
45	0.6354812381
46	0.6351750732
47	0.6345681135
48	0.6343332094
49	0.6340426787
50	0.6340332363
51	0.6335449054
52	0.6334823357
53	0.6333152198
54	0.6330242777
55	0.6327766189
56	0.6323331205
57	0.6320782256
58	0.6319306159
59	0.6316169857
60	0.6314503832
61	0.6311978401
62	0.6310434575
63	0.6309669954
64	0.6307129425
65	0.630679048
66	0.6306429132
67	0.6303139154
68	0.6302646631
69	0.6302187248
70	0.6301394472
71	0.6300307563
72	0.6299822875
73	0.6297959883
74	0.6296397787
75	0.6296288313
76	0.6291046459
77	0.6290597261
78	0.6290537171
79	0.6285731821
80	0.6284762341
81	0.6282151745
82	0.6278301035
83	0.6277982679
84	0.6277717257
85	0.6277547216
86	0.6277547063
87	0.6274626639
88	0.6272766649
89	0.6271280166
90	0.6270056576
91	0.6269834578
92	0.6269322112
93	0.6268942478
94	0.62686079
95	0.6266973487
96	0.6264568259
97	0.6264095843
98	0.6263657055
99	0.626256384
100	0.6260795495
101	0.6260188962
102	0.6260136957
103	0.6260136948
104	0.6260136502
105	0.6260052135
106	0.6258466913
107	0.6258312284
108	0.6258312262
109	0.625560834
110	0.6255599434
111	0.6255195689
112	0.6254507843
113	0.6253927431
114	0.6253262622
115	0.6252120771
116	0.6251922318
117	0.6250635129
118	0.6250430957
119	0.6250105656
120	0.6249490582
121	0.6249231295
122	0.6248796694
123	0.6248796694
124	0.6246923313
125	0.6245519711
126	0.6245401538
127	0.6245399504
128	0.6245399204
129	0.6244530073
130	0.6243864215
131	0.6243793872
132	0.6242091294
133	0.6242000857
134	0.6242000857
135	0.6241979116
136	0.624106371
137	0.6241002657
138	0.6241000213
139	0.6240353034
140	0.6240283668
141	0.6235718687
142	0.6235718395
143	0.6232993629
144	0.6230838707
145	0.6230838704
146	0.6230838698
147	0.6230838499
148	0.622967206
149	0.6229667487
150	0.6229667483
151	0.6227154104
152	0.6226974889
153	0.6226974783
154	0.6223542347
155	0.6219632685
156	0.6219632685
157	0.6219632685
158	0.6219579128
159	0.6217894307
160	0.6217774477
161	0.621438397
162	0.6214197114
163	0.6214140055
164	0.6212650024
165	0.62097239
166	0.620880099
167	0.6208279983
168	0.6207010186
169	0.6206428278
170	0.6206428252
171	0.6206088645
172	0.620591951
173	0.6205088858
174	0.6204804771
175	0.6204799894
176	0.6200995426
177	0.6198702819
178	0.6198702802
179	0.6197892027
180	0.6196010415
181	0.6192831522
182	0.6192458342
183	0.6190648861
184	0.6190645981
185	0.6189439725
186	0.6189439724
187	0.6189206685
188	0.6182788283
189	0.6182788283
190	0.6181874877
191	0.6180643158
192	0.6179288069
193	0.6176957851
194	0.6176027332
195	0.6176027326
196	0.6172868017
197	0.6172455788
198	0.617240214
199	0.6171857261
200	0.6171491326
201	0.6170983253
202	0.6170817348
203	0.6168568085
204	0.6166640524
205	0.6164175032
206	0.6162665442
207	0.6162505712
208	0.6159671566
209	0.6153490316
210	0.6152305362
211	0.6147179381
212	0.6143572787
213	0.6140336178
214	0.613701261
215	0.6132259823
216	0.6130223277
217	0.6127526583
218	0.6127335705
219	0.6125254744
220	0.6120950433
221	0.6117815925
222	0.6113713671
223	0.6108457249
224	0.6107302218
225	0.6101605628
226	0.6100288115
227	0.6097244959
228	0.6090469353
229	0.6084691399
230	0.6081444699
231	0.6078464542
232	0.6075206168
233	0.6070435902
234	0.6068158264
235	0.6063506318
236	0.6063442407
237	0.6060149892
238	0.6053460756
239	0.604989013
240	0.60439345
241	0.6040462714
242	0.6038447933
243	0.603492385
244	0.6032095907
245	0.6028426555
246	0.6022269565
247	0.6022211326
248	0.6021085386
249	0.601713527
250	0.6014818941
251	0.6012101879
252	0.6008426877
253	0.6006613936
254	0.6003262608
255	0.599987298
256	0.599606748
257	0.599278588
258	0.5989883213
259	0.5986606411
260	0.5981591164
261	0.5977347517
262	0.5971419089
263	0.5968809199
264	0.5966551834
265	0.5963304037
266	0.5960834886
267	0.5957636047
268	0.5953787248
269	0.5951632635
270	0.5948315722
271	0.5945281244
272	0.5943174595
273	0.5940975402
274	0.5938080244
275	0.5935769569
276	0.5929927485
277	0.5927625747
278	0.5925072265
279	0.5919930583
280	0.5917601977
281	0.591477525
282	0.5913881164
283	0.5913062323
284	0.5911248573
285	0.5908667516
286	0.5907022882
287	0.5904530563
288	0.5903390278
289	0.5901321111
290	0.5901148539
291	0.5899243078
292	0.5898394504
293	0.5894776119
294	0.5893683179
295	0.5891812288
296	0.5890275104
297	0.5888498492
298	0.5886554628
299	0.5883821035
