iter	Logloss
0	0.6874348199
1	0.6825181293
2	0.6780427127
3	0.6733643861
4	0.6692568824
5	0.6671647881
6	0.6646106066
7	0.6614542635
8	0.6592375268
9	0.6567440838
10	0.6538828861
11	0.6521554601
12	0.6501950121
13	0.6484714243
14	0.6469184186
15	0.6454139246
16	0.643964669
17	0.6429486943
18	0.6418118758
19	0.6401876459
20	0.6388288451
21	0.6382182552
22	0.6373681936
23	0.6364472637
24	0.6351628527
25	0.6342407358
26	0.6333221801
27	0.6327364792
28	0.631462
29	0.630991722
30	0.6299756682
31	0.6291212144
32	0.6281387547
33	0.6275479494
34	0.6267522556
35	0.626358504
36	0.6255848106
37	0.6250960143
38	0.6243957214
39	0.623829805
40	0.6236643273
41	0.6230904575
42	0.6225805313
43	0.6218950373
44	0.6215010879
45	0.6212241046
46	0.6210378532
47	0.6206708503
48	0.6204459399
49	0.6202456414
50	0.6197890939
51	0.6192551492
52	0.6189803027
53	0.6186047925
54	0.6183917528
55	0.618135108
56	0.6176203148
57	0.6171167592
58	0.6167579076
59	0.616455798
60	0.6163150905
61	0.6162303336
62	0.6158976767
63	0.6154619028
64	0.6150589713
65	0.6145855278
66	0.6142682632
67	0.6136145431
68	0.6134028883
69	0.6131234518
70	0.6127981943
71	0.6124596416
72	0.6120029357
73	0.6118433538
74	0.6116781135
75	0.6115928422
76	0.6112923549
77	0.6109186649
78	0.6106105408
79	0.6104561424
80	0.6101693064
81	0.6099791772
82	0.6097095933
83	0.6094923197
84	0.6094488729
85	0.6093338853
86	0.6090986869
87	0.6089156801
88	0.6085756634
89	0.6082293156
90	0.6078149882
91	0.6075860813
92	0.6075347998
93	0.6073541275
94	0.6073483505
95	0.6070688348
96	0.6066594535
97	0.6065382535
98	0.6062930442
99	0.6062013232
100	0.6061194944
101	0.6057815748
102	0.6055270667
103	0.6053115737
104	0.6050570657
105	0.6049878199
106	0.6045917733
107	0.6045202721
108	0.6042962718
109	0.604088653
110	0.603941654
111	0.6037641077
112	0.6036590124
113	0.6034909231
114	0.603195105
115	0.6030300229
116	0.6026188215
117	0.6024509696
118	0.6022571605
119	0.6019962818
120	0.6018507864
121	0.601680877
122	0.6015559179
123	0.6013177519
124	0.6013178706
125	0.6011170973
126	0.6009616305
127	0.6007551989
128	0.6005427923
129	0.6002247363
130	0.6001111732
131	0.6000389992
132	0.5999655591
133	0.5997449221
134	0.599742548
135	0.5996317547
136	0.5995501633
137	0.5993596384
138	0.5992157258
139	0.5990747809
140	0.5987176703
141	0.5986585937
142	0.5985725706
143	0.5983634878
144	0.5981622397
145	0.5979581426
146	0.5976318563
147	0.5974681988
148	0.5971561969
149	0.5970473425
150	0.5967292074
151	0.5966399396
152	0.5964151875
153	0.5963859064
154	0.5961852518
155	0.5960960236
156	0.5959894642
157	0.5955310569
158	0.5952401453
159	0.5952190946
160	0.5951194597
161	0.5948709662
162	0.5947890187
163	0.5946295159
164	0.5944023896
165	0.5941491082
166	0.5939498781
167	0.5937869723
168	0.5936301602
169	0.5935215036
170	0.5933901344
171	0.5933862567
172	0.5931366947
173	0.5929014568
174	0.5926661001
175	0.5925029966
176	0.592332454
177	0.5921603287
178	0.5921070688
179	0.5919813183
180	0.591835546
181	0.5917365838
182	0.5916495715
183	0.5912572049
184	0.5911118283
185	0.5909607141
186	0.5907281273
187	0.5904396294
188	0.5900799469
189	0.5899253111
190	0.5896813679
191	0.58951316
192	0.5892998037
193	0.5891623804
194	0.5889380635
195	0.5888021043
196	0.588619691
197	0.5886060397
198	0.5884511269
199	0.5881598592
200	0.5880161841
201	0.5879157578
202	0.5876799659
203	0.5875360929
204	0.5872402352
205	0.5869956985
206	0.586753536
207	0.5866678295
208	0.5864083357
209	0.5862602684
210	0.5859952349
211	0.5857096256
212	0.5855778211
213	0.5853011148
214	0.5850642546
215	0.5848673195
216	0.5846229411
217	0.5843563249
218	0.5840376754
219	0.583838564
220	0.5836188767
221	0.5834067867
222	0.5831349474
223	0.5828914791
224	0.5827015081
225	0.5823688116
226	0.582208834
227	0.5820145896
228	0.5817029438
229	0.5815350128
230	0.5813620566
231	0.5812114568
232	0.580989514
233	0.5808485296
234	0.5805799349
235	0.5803778558
236	0.5802162954
237	0.5799505893
238	0.5796319003
239	0.5792639082
240	0.5789897344
241	0.5788109219
242	0.5785381329
243	0.578333838
244	0.5779917636
245	0.5777593747
246	0.5775658425
247	0.5773926884
248	0.577258668
249	0.5770570638
250	0.5767320437
251	0.5764664959
252	0.576255395
253	0.575976829
254	0.5758288804
255	0.5756135852
256	0.5754057686
257	0.5751751603
258	0.5749293178
259	0.5747925277
260	0.5745122602
261	0.5742727883
262	0.5740908499
263	0.5737080986
264	0.5734361801
265	0.5732208454
266	0.5729086061
267	0.5727079911
268	0.5725435026
269	0.572420245
270	0.5721151677
271	0.5717528341
272	0.5715406649
273	0.571219206
274	0.5710675774
275	0.5706853801
276	0.5704027384
277	0.5702211561
278	0.5698430739
279	0.5696665169
280	0.5695612632
281	0.5693092876
282	0.5691105719
283	0.5688908846
284	0.5685643609
285	0.5683129392
286	0.568049172
287	0.5678110455
288	0.5675043063
289	0.56729554
290	0.5671190621
291	0.566960232
292	0.5667335014
293	0.5665032096
294	0.5662904073
295	0.5661245339
296	0.5658033916
297	0.5656700439
298	0.5654911919
299	0.5653036742
